Content,dateTime,replies,retweets,likes
Netflix documentary about returning astronauts to orbit after Space Shuttle program ended,2022-05-23T13:55:43.000Z,"7,829",10.1K,107.8K
"Elden Ring, experienced in its entirety, is the most beautiful art I have ever seen",2022-05-23T03:21:02.000Z,14.5K,31.6K,347.9K
"-Conversei há pouco com 
@elonmusk
 , que visita o Brasil a convite do Ministro 
@fabiofaria
 . Entre outros assuntos, tratamos de conectividade, investimentos, inovação e o uso da tecnologia como reforço na proteção de nossa Amazônia e na realização do potencial econômico do Brasil.",2022-05-20T15:30:33.000Z,10.5K,25.9K,164.2K
Accurate,2022-05-20T22:42:22.000Z,"3,659","4,396",49.2K
What I love most about wacktivists is their incredible sense of humor ,2022-05-19T05:16:06.000Z,12.4K,16.9K,234.6K
Yup,2022-05-19T04:39:11.000Z,"4,554","4,929",81.2K
A clear case of wacktivism,2022-05-19T05:01:13.000Z,"2,763","4,085",79.5K
"Select Supercharger stations now open to non-Tesla EVs in Belgium , the UK , Austria , Spain  and Sweden ",2022-05-18T19:40:14.000Z,"2,125","2,932",33.9K
Another batch of Starlinks reach orbit,2022-05-19T01:07:03.000Z,"5,269","8,061",111.7K
 ,2022-05-19T01:05:07.000Z,20.6K,25.7K,355K
Despite Tesla doing more for the environment than any company ever!,2022-05-18T16:23:46.000Z,12.9K,33.6K,247.8K
Political attacks on me will escalate dramatically in coming months,2022-05-18T16:22:38.000Z,67K,70.1K,659.2K
"Exxon is rated top ten best in world for environment, social & governance (ESG) by S&P 500, while Tesla didn’t make the list!

ESG is a scam. It has been weaponized by phony social justice warriors.",2022-05-18T16:09:17.000Z,16.7K,49.8K,315.1K
".
@SPGlobalRatings
 has lost their integrity",2022-05-18T16:18:50.000Z,"3,094","8,208",106.1K
bullsh*t baffles brains,2022-05-18T07:15:54.000Z,15.7K,19.7K,232.9K
Even applied 2 urslf,2022-05-18T08:35:54.000Z,"2,674","3,182",76.5K
"Starlink has resisted Russian cyberwar jamming & hacking attempts so far, but they’re ramping up their efforts",2022-05-11T00:56:54.000Z,12.5K,17K,153.8K
Chocolate milk is insanely good. Just had some.,2022-05-09T13:35:52.000Z,74K,94.8K,1.1M
".
@Rogozin
 sent this to Russian media",2022-05-09T00:40:57.000Z,"9,526",10.4K,113.3K
The word “Nazi” doesn’t mean what he seems to think it does,2022-05-09T00:45:05.000Z,13.1K,15.4K,158.9K
There are no angels in war,2022-05-09T11:13:59.000Z,11.7K,14.7K,183.4K
"If I die under mysterious circumstances, it’s been nice knowin ya",2022-05-09T00:51:26.000Z,150.1K,223.3K,1.9M
"If Twitter acquisition completes, company will be super focused on hardcore software engineering, design, infosec & server hardware",2022-05-06T15:14:54.000Z,29.6K,40.5K,399.1K
"Also, work ethic expectations would be extreme, but much less than I demand of myself",2022-05-07T12:37:25.000Z,13.2K,13.8K,207.7K
"I strongly believe that all managers in a technical area must be technically excellent. 

Managers in software must write great software or it’s like being a cavalry captain who can’t ride a horse!",2022-05-06T16:10:46.000Z,12.7K,30K,275.2K
Another Starlink mission completed,2022-05-06T15:33:10.000Z,"8,537",11.5K,153.3K
We created nearly 100k direct new jobs in just one decade – and are planning to grow for years to come ,2022-05-06T14:00:36.000Z,"2,359","4,738",57.8K
"The future is undoubtedly electric  
→ 2021 Impact Report",2022-05-06T14:00:05.000Z,"2,623","5,418",43.4K
The deorbit burn has begun and the #Crew3 astronauts are one step closer to coming home.,2022-05-06T03:59:42.000Z,"2,777","4,501",45.8K
"Dragon separation confirmed! The spacecraft will now execute four departure burns to move away from the 
@space_station
. Dragon will reenter the Earth's atmosphere and splashdown in ~23.5 hours",2022-05-05T05:21:00.000Z,"4,586","5,756",56.8K
Docking confirmed!,2022-04-27T23:41:36.000Z,"2,605","7,257",127.5K
"For Twitter to deserve public trust, it must be politically neutral, which effectively means upsetting the far right and the far left equally",2022-04-27T20:38:20.000Z,83.3K,181.3K,1.5M
Truth Social is currently beating Twitter & TikTok on the Apple Store,2022-04-27T05:01:00.000Z,47.3K,61.6K,628.3K
Truth Social (terrible name) exists because Twitter censored free speech,2022-04-27T17:11:41.000Z,21.5K,36.6K,507.9K
Should be called Trumpet instead!,2022-04-27T17:28:36.000Z,17.9K,23.4K,489.3K
Crew-4 on orbit,2022-04-27T08:07:56.000Z,"3,530","8,770",107.2K
Astronauts arrive at Launch Complex 39A ahead of flight,2022-04-27T04:55:45.000Z,"1,215","3,315",46.5K
Happy Easter!,2022-04-17T21:09:42.000Z,34.9K,42.4K,600.4K
Smooth landing video,2022-04-17T16:27:49.000Z,11.2K,18.6K,244K
 Love Me Tender ,2022-04-16T19:02:24.000Z,32.6K,29.8K,395.7K
Thanks for the support!,2022-04-15T20:09:48.000Z,32.4K,27K,363.8K
,2022-04-14T22:07:09.000Z,19K,24.1K,245.1K
iu,2022-04-14T21:40:23.000Z,90.4K,105.9K,1.2M
"Taking Twitter private at $54.20 should be up to shareholders, not the board",2022-04-14T20:12:08.000Z,24.6K,38.1K,212.3K
"I made an offer 
https://sec.gov/Archives/edgar/data/0001418091/000110465922045641/tm2212748d1_sc13da.htm…",2022-04-14T11:23:21.000Z,81.2K,143.6K,924.8K
Will endeavor to keep as many shareholders in privatized Twitter as allowed by law,2022-04-14T19:06:07.000Z,"7,416",12.6K,188K
"Falcon 9 and Dragon vertical at 39A; targeting Friday, April 8 for launch of Ax-1 → https://spacex.com/launches/ax-1/",2022-04-06T03:25:03.000Z,"2,929","3,923",36.3K
Do you want an edit button?,2022-04-05T00:48:06.000Z,76.1K,82.5K,347.7K
Oh hi lol,2022-04-04T16:04:49.000Z,68.8K,67.2K,946.4K
Berlin rocks,2022-04-03T20:10:23.000Z,15.9K,11.5K,218.2K
"I am inspired by curiosity. 

That is what drives me. 

So let us expand the scope & scale of consciousness so that we may aspire to understand the Universe.",2022-04-03T06:54:15.000Z,18.8K,37.1K,305.2K
They wrote PEACE on the wall at Berghain! I refused enter.,2022-04-03T02:51:18.000Z,"5,936","6,810",90.4K
Peace. Peace?  I hate the word. Those who do care about peace (myself aspirationally included) don’t need to hear it. And those who don’t care about peace? Well …,2022-04-03T06:19:29.000Z,"5,204","5,213",70K
Humanity did not evolve to mourn the unborn,2022-04-03T04:50:49.000Z,"6,922",11.3K,139.6K
I’m talking about not having kids in the first place. That’s the problem.,2022-04-03T04:58:37.000Z,"5,166","4,033",67.2K
https://scientificamerican.com/article/the-pandemic-caused-a-baby-bust-not-a-boom/?amp=true…,2022-04-03T05:00:17.000Z,"1,469","1,204",18.8K
Flying Through Giga Berlin,2022-04-01T20:42:05.000Z,"3,171","5,783",39.6K
To think I grew up 2b bizniz magnet ,2022-04-01T00:34:56.000Z,10.1K,19K,298.7K
"Targeting Friday, April 1 for launch of our fourth dedicated smallsat rideshare mission; teams are keeping an eye on weather as the latest forecast shows a 30% chance of favorable liftoff conditions http://spacex.com/launches/transporter-4…",2022-03-31T20:02:26.000Z,"2,361","2,707",27.3K
Twitter algorithm should be open source,2022-03-24T17:07:22.000Z,11.3K,12.7K,71.2K
 Danke Deutschland!! ,2022-03-22T13:30:39.000Z,16.9K,16.5K,279.9K
Excited to hand over the first production cars made by Giga Berlin-Brandenburg tomorrow!,2022-03-21T18:38:32.000Z,11.2K,12.7K,212.2K
Deployment of 53 Starlink satellites confirmed,2022-03-19T05:48:12.000Z,"4,328","5,097",80K
Also the heaviest Falcon 9 payload at 16.25 metric tons,2022-03-19T05:49:35.000Z,"3,234","2,399",55.5K
This is the first time a Falcon 9 first stage has launched and landed 12 times!,2022-03-19T04:51:45.000Z,"1,623","2,342",33.1K
"The limbic instinct for vengeance is incredibly strong, which is why turn the other cheek is such a powerful idea",2022-03-19T03:24:17.000Z,"9,545",15.9K,159.9K
As it ends the cycle of retribution,2022-03-19T03:26:10.000Z,"3,836","4,185",81.7K
Starship full stack propellant load testing at Starbase,2022-03-18T20:35:44.000Z,"2,927","6,927",65K
Working hard to make useful products & services for your fellow humans is deeply morally good,2022-03-17T06:52:38.000Z,16.3K,27.3K,300.8K
"I have so much respect for the associates doing an honest day’s work at Tesla or SpaceX building & servicing cars, rockets, Starlinks, batteries, solar & many other things",2022-03-17T06:56:51.000Z,"5,962","6,534",146.3K
Working on Master Plan Part 3,2022-03-17T04:19:35.000Z,19K,18K,275.3K
"Telegram post by Ramzan Kadyrov, head of Chechen Republic!",2022-03-15T20:20:19.000Z,16.5K,27.4K,229.8K
"Thank you for the offer, but such excellent training would give me too much of an advantage. 

If he is afraid to fight, I will agree to use only my left hand and I am not even left-handed.

Elona",2022-03-15T20:32:20.000Z,15.1K,28.7K,347.6K
Congratulations SpaceX team for all that you have accomplished!,2022-03-15T00:46:22.000Z,"5,873","9,144",123.7K
"I hereby challenge
Владимир Путин 
to single combat

Stakes are Україна",2022-03-14T11:09:22.000Z,39.5K,77.4K,399.9K
"Вы согласны на этот бой? 
@KremlinRussia_E",2022-03-14T11:53:36.000Z,"7,834",11K,127.8K
By the pricking of my thumbs …,2022-03-14T10:47:57.000Z,"7,370","5,355",112.6K
There is a beauty to the biological substrate,2022-03-14T09:42:25.000Z,"5,628","5,280",94K
This was our 9th Falcon 9 launch in the first 9 weeks of 2022,2022-03-03T18:04:40.000Z,"4,243","7,449",77.2K
"Important warning: Starlink is the only non-Russian communications system still working in some parts of Ukraine, so probability of being targeted is high. Please use with caution.",2022-03-03T19:49:51.000Z,"9,603",43.5K,370K
Deployment of 47 Starlink satellites confirmed,2022-03-03T15:45:58.000Z,"1,993","3,816",50.6K
Watch Falcon 9 launch 47 Starlink satellites to orbit → http://spacex.com/launches,2022-03-03T14:14:27.000Z,"1,554","4,490",37K
"Solar Roof lets you become your own renewable energy utility. Generate clean energy and drive on solar.
: 
@bethlyp
 on IG",2022-03-02T18:26:00.000Z,"3,252","3,797",32.2K
The people of Tonga were recently connected with Starlink,2022-02-25T17:13:54.000Z,"9,101","7,660",60.1K
Watch Falcon 9 launch 50 Starlink satellites to orbit → http://spacex.com/launches,2022-02-25T17:02:47.000Z,"3,499","4,452",37.3K
Much appreciated!,2022-02-09T21:34:13.000Z,"4,093","2,894",35K
Why is the “traditional” media such a relentless hatestream? Real question.,2022-02-07T23:18:37.000Z,30.4K,44.4K,345K
"Most news outlets attempt to answer the question: “What are the worst things happening on Earth today?”

It’s a big planet! Obviously, some bad things are happening somewhere at any given time, but focusing relentlessly on those does not give an accurate picture of reality.",2022-02-07T23:40:58.000Z,"8,491",18K,152.6K
Always look on the bright side of life,2022-02-07T18:09:58.000Z,17.7K,32.5K,255.7K
So … it’s finally come to this …,2021-02-07T07:41:23.000Z,28.7K,97.7K,759.1K
,2022-02-07T17:42:56.000Z,"5,158","4,140",58.1K
 Thank You for Smoking ,2022-02-06T01:37:28.000Z,16K,14.9K,159K
[Satire],2022-02-06T01:38:11.000Z,"3,411","2,220",56.5K
Tesla Model S & X Plaid are so fun!,2022-02-06T00:27:58.000Z,"4,159","3,365",39.8K
Extended tracking shot of Falcon 9,2022-02-06T00:26:05.000Z,"4,319","3,349",29.4K
Congrats SpaceX Falcon team!,2022-02-03T20:50:45.000Z,"6,743","6,594",75.1K
"If things go well, Falcon will launch about once a week on average in 2022, delivering ~2/3 of all Earth payload to orbit",2022-02-03T21:32:56.000Z,"3,729","3,138",39.6K
Watch Falcon 9 launch 49 Starlink satellites to orbit → http://spacex.com/launches,2022-02-03T18:00:32.000Z,"2,277","3,249",19.6K
Watch Falcon 9 launch NROL-87 to orbit → http://spacex.com/launches,2022-02-02T20:16:45.000Z,"2,397","3,330",23.7K
Starlink high performance antenna,2022-02-02T05:28:41.000Z,"5,121","4,743",50.9K
"SpaceX standard antenna production rises rapidly this year, so those with orders shouldn’t have to wait long.

Note, Starlink can only support a limited number of users in an area, so best to order early.",2022-02-02T16:43:49.000Z,"3,765","1,465",18K
"Exciting progress at Starbase, Texas!",2022-02-02T10:37:30.000Z,"7,953","8,671",158.3K
This is twice the area of our standard phased array with broader scan angle,2022-02-02T05:43:24.000Z,"1,973","1,264",23.8K
Graffiti art at Giga Berlin,2022-01-21T09:18:55.000Z,"7,755","7,516",74.4K
This is annoying,2022-01-21T09:12:41.000Z,18.7K,22.6K,221.2K
Twitter is spending engineering resources on this bs while crypto scammers are throwing a spambot block party in every thread!?,2022-01-21T09:23:26.000Z,"7,913",11.3K,149.2K
Maybe something like this,2022-01-20T03:57:33.000Z,10.6K,"9,298",87.3K
Frank & Beans,2022-01-20T03:17:49.000Z,"6,129","5,479",68.4K
"Tesla AI might play a role in AGI, given that it trains against the outside world, especially with the advent of Optimus",2022-01-19T09:11:10.000Z,"8,910","6,404",86.9K
Believe in the future!,2022-01-19T02:51:53.000Z,30K,50.4K,370.2K
Back to the moon soon,2022-01-19T02:49:42.000Z,"8,464","9,199",110.2K
We should be much more worried about population collapse,2022-01-18T17:02:24.000Z,22.4K,25.4K,192.6K
Let’s make the roaring 20’s happen!,2022-01-02T18:19:33.000Z,21.9K,30K,315.2K
Great work by Tesla team worldwide!,2022-01-02T17:56:50.000Z,"5,535","4,649",65.5K
Lex asks great questions,2021-12-28T21:18:21.000Z,"9,913","8,158",86.3K
"So much of AI is about compressing reality to a small vector space, like a video game in reverse",2021-12-27T03:49:50.000Z,11.4K,10.7K,137.4K
Physics formulas are the rendering rules,2021-12-27T03:51:33.000Z,"3,793","3,092",57.3K
Old school shell game,2021-12-16T19:30:13.000Z,"3,393","1,631",52K
"Highly recommend all of 
@HardcoreHistory",2021-12-15T20:31:35.000Z,"4,329","2,825",35.4K
Tesla will make some merch buyable with Doge & see how it goes,2021-12-14T10:34:23.000Z,52.7K,65.7K,360.2K
SpaceX is starting a program to take CO2 out of atmosphere & turn it into rocket fuel. Please join if interested.,2021-12-13T22:21:34.000Z,21.8K,34.2K,354K
Will also be important for Mars,2021-12-13T22:21:51.000Z,"5,067","4,642",111.4K
Sine qua non non,2021-12-12T12:29:34.000Z,"5,623","2,857",54.6K
"The sun is absurdly, overwhelmingly the source of energy in our solar system",2021-12-01T08:04:51.000Z,13.4K,12.8K,170.8K
Doesn’t even need maintenance – just works!,2021-12-01T08:12:11.000Z,"5,225","3,188",78.9K
Just dropping some friends off at the pool,2021-11-29T23:52:29.000Z,15.9K,"8,071",152.2K
Friends & pools are great,2021-12-01T07:19:53.000Z,"3,123","1,670",38.5K
Blow the whistle on Tesla!,2021-12-01T00:23:05.000Z,"9,884","8,582",98.8K
"Don’t waste your money on that silly Apple Cloth, buy our whistle instead!",2021-12-01T00:36:14.000Z,"5,513","5,158",82.5K
DayQuil + NyQuil,2021-11-30T22:59:18.000Z,11.1K,17.5K,214.2K
I love a great whine,2021-11-30T01:08:57.000Z,23.3K,11.7K,185.3K
,2021-11-30T00:24:41.000Z,13.5K,"5,758",81.1K
Splish splash,2021-11-30T00:13:51.000Z,13.8K,"7,120",88.5K
"Happy Thanksgiving to all! Hope you have a great day. 

Your support over the years is super appreciated ",2021-11-25T19:56:37.000Z,33.6K,18.1K,324.2K
Avenge the dinosaurs!!,2021-11-25T11:15:48.000Z,12.8K,22.8K,208.6K
"More photos from last night's Falcon 9 launch of 
@NASA
's double asteroid redirection test → http://flickr.com/spacex/",2021-11-24T15:54:05.000Z,"4,519","6,681",55.1K
"Watch Dragon depart the 
@space_station
 and return to Earth with Crew-2 astronauts → http://spacex.com/launches",2021-11-08T18:51:23.000Z,"2,215","2,928",18.2K
"Following Crew-2’s return to Earth, Falcon 9 will launch Dragon’s third long-duration crew mission to the 
@Space_Station
 as soon as Wednesday, November 10; weather forecast is 80% favorable for liftoff",2021-11-07T15:52:06.000Z,"2,677","2,995",28.2K
"After a six-month stay, Dragon and the Crew-2 astronauts are set to depart the 
@space_station
 today at ~2:00 p.m. ET → http://spacex.com/launches",2021-11-08T16:21:44.000Z,"1,932","1,899",20K
Roll them  ,2021-11-06T20:05:43.000Z,13.3K,"4,262",48.1K
"Much is made lately of unrealized gains being a means of tax avoidance, so I propose selling 10% of my Tesla stock.

Do you support this?",2021-11-06T19:17:49.000Z,56.1K,40.2K,148.7K
"I will abide by the results of this poll, whichever way it goes",2021-11-06T19:23:11.000Z,"9,669","5,049",90.1K
* abide(n),2021-11-06T19:30:34.000Z,"8,370","2,187",41.7K
"Note, I do not take a cash salary or bonus from anywhere. I only have stock, thus the only way for me to pay taxes personally is to sell stock.",2021-11-06T19:28:33.000Z,14.9K,"8,283",109.4K
"Yup, even the moon",2021-11-03T07:34:08.000Z,39.8K,32.6K,367.5K
And Mars,2021-11-03T19:28:23.000Z,"7,952","3,246",47.7K
"Humankind
煮豆燃豆萁
豆在釜中泣
本是同根生
相煎何太急",2021-11-02T00:12:52.000Z,36.9K,32.4K,195.7K
Trial program for opening Tesla Superchargers to other EVs has begun,2021-11-01T14:55:55.000Z,"8,270","6,531",80.6K
Happy Halloween ,2021-10-31T15:03:08.000Z,"5,824","5,779",77.2K
"Am thinking of starting new university:
Texas Institute of Technology & Science",2021-10-29T05:20:58.000Z,54.1K,71.6K,616.9K
Tuition is in Dogecoin & u get a discount if u have a dog,2021-10-31T18:20:50.000Z,25.3K,24.6K,238.6K
"Crew-3 astronauts, SpaceX, and 
@NASA
 completed a full rehearsal of launch day activities",2021-10-29T04:12:36.000Z,"4,491","3,912",51.4K
"Falcon 9 and Dragon are looking good for Sunday morning’s launch. Weather forecast is 80% favorable for liftoff, while teams are keeping an eye on weather along the ascent corridor",2021-10-29T14:10:10.000Z,"4,375","4,093",44.7K
It will have epic merch,2021-10-29T05:22:26.000Z,"6,272","6,204",189.8K
Universally admired,2021-10-29T06:36:25.000Z,"5,243","3,611",132.8K
I’ve thought about and … I’m not sorry for party rocking,2021-10-17T22:22:31.000Z,18K,16.9K,183.1K
"(\_/)
( •_•)
/ >",2021-10-17T22:20:36.000Z,58.8K,57.2K,408.2K
"Thanks Cameron County, Brownsville & South Padre for your support! Much appreciated.",2021-10-17T02:42:44.000Z,"3,803","3,295",41.2K
Crew-3 astronauts test out their flight hardware ahead of launch later this month,2021-10-13T22:01:22.000Z,"3,484","4,073",46.4K
Can’t wait to be in Genshin Impact ,2021-10-14T07:57:30.000Z,15.6K,51.1K,300.2K
Starship Launch Site,2021-10-12T01:17:01.000Z,"9,979","9,579",109.8K
Party at #GigaBerlin,2021-10-09T18:17:36.000Z,"2,436","2,273",24.1K
"The 
@inspiration4x
 crew is set to return to Earth on Saturday, September 18 with a targeted splashdown at 7:06 p.m. EDT in the Atlantic Ocean off the coast of Florida",2021-09-17T21:43:19.000Z,"1,371","2,515",25.1K
"Our crew chatted from space with the patients of 
@StJude
! Watch the event here: https://youtu.be/8xnBajP0Kus

Support St. Jude Children’s Research Hospital: http://stjude.org/get-involved/other-ways/inspiration4.html…",2021-09-17T20:00:59.000Z,"1,139","1,815",19K
"Please add your voice to the public comments. Support is greatly appreciated! 

Humanity’s future on the moon, Mars & beyond depends upon it.

Thanks, 
Elon",2021-09-17T18:12:05.000Z,"6,201","6,156",41.8K
"The 
@Inspiration4x
 crew will share a live on-orbit update about their multi-day journey aboard the Dragon spacecraft at ~5:00 p.m. ET today → http://youtu.be/E71ffwc13y4",2021-09-17T17:30:27.000Z,"2,120","3,076",26.6K
"Good feedback from FSD Beta 10 users! 10.0.1 point release rolling out now. 

10.1 rolls out a week from Friday with beta request button.",2021-09-17T06:11:49.000Z,"4,333","2,928",42.5K
The crew of #Inspiration4 had an incredible first day in space! They’ve completed more than 15 orbits around planet Earth since liftoff and made full use of the Dragon cupola.,2021-09-17T04:10:33.000Z,"2,644",10.7K,69.7K
"Just spoke with 
@inspiration4x
 crew. All is well.",2021-09-16T19:51:15.000Z,"6,579","5,587",106.2K
"@Space_Station
, your package is ready for delivery.

Tomorrow, Aug. 28, a 
@SpaceX
 Dragon spacecraft launches to the orbiting lab with tons of cargo, including assortments of cheese, ice cream, & veggies for the crew!

Watch LIVE at 3:15am ET (07:15 UT): http://nasa.gov/live",2021-08-28T00:08:02.000Z,"1,676","2,499",25.6K
"Static fire test complete – targeting Saturday, August 28 at 3:37 a.m. EDT for Falcon 9 launch of Dragon’s 23rd cargo resupply mission to the 
@space_station
 → http://spacex.com/launches",2021-08-26T02:49:47.000Z,"1,780","1,962",20.2K
,2021-08-25T22:12:10.000Z,10.4K,"9,552",145.9K
100k terminals shipped!,2021-08-23T20:43:30.000Z,10.9K,"6,971",82.4K
Now serving              ,2021-08-23T21:47:46.000Z,"4,247","2,792",57.5K
Our license applications are pending in many more countries. Hoping to serve Earth soon!,2021-08-23T21:52:27.000Z,"2,917","1,859",45.3K
"Crew-3 astronauts visited 
@NASAKennedy
 this week for emergency preparedness training",2021-07-31T16:49:36.000Z,"2,770","2,136",30.2K
Snatched from the sky by Mechazilla,2021-07-31T09:14:55.000Z,"2,116","1,421",50K
Apple app store fees are a de facto global tax on the Internet. Epic is right.,2021-07-30T16:55:44.000Z,15.8K,19.1K,227.7K
Prometheus Unbound,2021-07-30T04:52:14.000Z,11.4K,13.4K,193.6K
Giga Texas: 6 months ago vs this week,2021-07-29T19:34:03.000Z,"7,339","4,747",65.3K
Completing feed system for 29 Raptor rocket engines on Super Heavy Booster,2021-07-29T18:53:13.000Z,"9,139","9,109",120.9K
Tesla AI Day August 19th,2021-07-29T03:59:25.000Z,14.8K,13.3K,178.7K
Fellowship of the Raptors,2021-07-10T05:47:13.000Z,13.8K,"9,601",137.3K
Dragon returning from orbit,2021-07-10T03:11:05.000Z,"5,078","2,603",37.8K
Solar + Powerwall battery ensures that your home never loses power,2021-07-09T21:50:01.000Z,"9,871","9,715",143.9K
"Tesla Solar Roof + Powerwall in major new housing development in Austin
https://bam.brookfield.com/press-releases/2021/07-09-2021-200014929…",2021-07-09T20:50:33.000Z,"3,471","2,649",27.8K
"Autonomous SpaceX droneship,
A Shortfall of Gravitas",2021-07-09T20:39:21.000Z,"6,249",15.5K,142.2K
"I just bought my very first Tesla. Here's what happened https://electrek.co/2021/07/05/i-just-bought-my-very-first-tesla-heres-what-happened/… by 
@michelle0728",2021-07-05T22:35:43.000Z,"1,896","1,247",14.8K
Gas lit by gas light ,2021-07-08T23:08:51.000Z,"6,203","4,169",70.9K
Maybe that movie gaslit us all,2021-07-08T23:47:20.000Z,"2,286","1,248",31.4K
Listening to History of English podcast,2021-07-08T23:33:59.000Z,"4,422","2,750",76.1K
Tropic Thunder is so good,2021-07-08T23:12:33.000Z,10.5K,12.8K,204.6K
"Also, the British legal system in 2021",2021-07-08T05:54:37.000Z,"6,379","8,327",120.3K
I love this ,2021-07-08T05:51:19.000Z,"7,660","9,368",121.5K
High res landing Falcon landing video,2021-07-07T16:58:11.000Z,"9,526",21.3K,198.4K
Supersonic shock wave,2021-07-07T18:48:11.000Z,"1,954","1,543",40.9K
Free Britney,2021-07-05T07:12:04.000Z,16.8K,54.7K,442.5K
Bless America,2021-07-04T17:59:19.000Z,11.1K,12.9K,234.4K
Super Heavy on road & 7th Tower segment added,2021-07-01T18:44:25.000Z,"5,521","8,880",117K
Super Heavy moves tomorrow,2021-07-01T09:57:18.000Z,"6,055","9,942",147.4K
"Baby Doge, doo, doo, doo, doo, doo,
Baby Doge, doo, doo, doo, doo, doo,
Baby Doge, doo, doo, doo, doo, doo,
Baby Doge",2021-07-01T09:24:21.000Z,50.8K,70.5K,289.2K
Release the Doge!,2021-07-01T08:43:41.000Z,10.9K,17.1K,127K
Stop gendering memes … I mean mimes,2021-07-01T08:42:11.000Z,"5,830","6,413",122.1K
Tracking footage of Falcon 9 landing on LZ-1,2021-07-01T00:20:04.000Z,"3,743",16.1K,93.1K
Super Heavy on road & 7th Tower segment added,2021-07-01T18:44:25.000Z,"5,521","8,880",117K
Super Heavy moves tomorrow,2021-07-01T09:57:18.000Z,"6,055","9,942",147.4K
"Baby Doge, doo, doo, doo, doo, doo,
Baby Doge, doo, doo, doo, doo, doo,
Baby Doge, doo, doo, doo, doo, doo,
Baby Doge",2021-07-01T09:24:21.000Z,50.8K,70.5K,289.2K
Release the Doge!,2021-07-01T08:43:41.000Z,10.9K,17.1K,127K
Stop gendering memes … I mean mimes,2021-07-01T08:42:11.000Z,"5,830","6,413",122.1K
